No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
82,bmg2024vdkc,2024-10-27T16:45:22.14682Z,-6.245772839,103.3416519,4.420231769,MLv,58,45,202.8147125,"Southwest of Sumatra, Indonesia",BMKG
453,bmg2024vyax,2024-11-07T23:58:23.805603Z,-0.077894188,96.77696991,3.820748759,M,33,46,224.5944443,"Southwest of Sumatra, Indonesia",BMKG
52,bmg2024xkib,2024-11-28T22:45:09.900059Z,-8.06555748,103.9748383,4.189996658,MLv,25,43,239.4239273,"Southwest of Sumatra, Indonesia",BMKG
27,bmg2024xlqq,2024-11-29T16:13:19.694417Z,-7.449953556,104.9961929,4.600878961,MLv,5,127,140.3415222,"Southwest of Sumatra, Indonesia",BMKG
301,bmg2024ydic,2024-12-09T08:21:05.053157Z,-6.478954792,103.9215698,4.667564793,Mw,10,74,195.9852066,"Southwest of Sumatra, Indonesia",BMKG
45,bmg2024zhvb,2024-12-26T00:59:06.322746Z,-7.386174679,103.182724,4.524274058,MLv,10,62,241.129921,"Southwest of Sumatra, Indonesia",BMKG
27,bmg2024zjmz,2024-12-26T23:11:01.202116Z,-6.392580986,103.77285,3.523334266,MLv,10,30,201.5519562,"Southwest of Sumatra, Indonesia",BMKG
516,bmg2025aqbc,2025-01-09T18:44:18.363714Z,-6.012431622,103.4545135,3.831066772,MLv,10,41,185.7275085,"Southwest of Sumatra, Indonesia",BMKG
378,bmg2025avpa,2025-01-12T19:27:03.082243Z,-1.315400839,97.55164337,3.424332076,MLv,10,33,234.5426407,"Southwest of Sumatra, Indonesia",BMKG
366,bmg2025awck,2025-01-13T02:12:48.07007Z,-6.379286766,103.8541031,3.30697774,MLv,17,12,263.7856073,"Southwest of Sumatra, Indonesia",BMKG
333,bmg2025axkx,2025-01-13T19:38:36.95401Z,-6.187485218,102.3661423,3.615156143,MLv,12,28,247.6557159,"Southwest of Sumatra, Indonesia",BMKG
179,bmg2025bczo,2025-01-16T20:42:52.091734Z,-6.072269917,103.6768875,2.663758021,MLv,76,17,191.9454269,"Southwest of Sumatra, Indonesia",BMKG
178,bmg2025bdal,2025-01-16T21:09:54.204006Z,-6.290483952,103.7284393,3.206906347,MLv,16,27,203.2964859,"Southwest of Sumatra, Indonesia",BMKG
107,bmg2025bfmf,2025-01-18T05:23:25.297672Z,-6.383891582,103.6753464,3.372013536,MLv,13,25,203.5619812,"Southwest of Sumatra, Indonesia",BMKG
38,bmg2025bili,2025-01-19T20:20:46.654588Z,-6.191630363,101.6213379,3.883005029,MLv,10,30,234.3532639,"Southwest of Sumatra, Indonesia",BMKG
767,bmg2023ribw,2025-01-20T08:08:55.62892Z,-5.372297764,101.8281631,4.781293504,MLv,58,84,212.0374069,"Southwest of Sumatra, Indonesia",BMKG
273,bmg2024llrj,2025-01-21T22:09:32.183093Z,-7.178668499,103.3684769,4.428430635,M,10,56,232.782486,"Southwest of Sumatra, Indonesia",
