No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
530,bmg2023ljgo,2023-06-11T14:26:00.586021Z,-5.553142548,102.9772797,3.42331903,MLv,14,30,185.5728378,"Southern Sumatra, Indonesia",BMKG
510,bmg2023lkgy,2023-06-12T03:45:23.308179Z,-5.654112339,102.9512024,3.566101033,MLv,22,35,197.0595474,"Southern Sumatra, Indonesia",BMKG
489,bmg2023llke,2023-06-12T18:32:17.649067Z,-1.891998172,101.2581558,3.094900457,MLv,87,45,49.70452881,"Southern Sumatra, Indonesia",BMKG
477,bmg2023lmnb,2023-06-13T09:07:43.337231Z,-2.576653957,100.8408279,3.770508446,MLv,26,58,161.8670959,"Southern Sumatra, Indonesia",BMKG
472,bmg2023lmvh,2023-06-13T13:17:17.919439Z,-1.161449075,99.45065308,2.788243305,M,10,13,145.0124207,"Southern Sumatra, Indonesia",BMKG
450,bmg2023loew,2023-06-14T07:15:33.59236Z,-5.908060074,104.8277664,4.069673158,MLv,10,60,151.126709,"Southern Sumatra, Indonesia",BMKG
449,bmg2023lofa,2023-06-14T07:20:15.962004Z,-5.929097176,104.7978516,3.033685827,M,10,26,174.6911087,"Southern Sumatra, Indonesia",BMKG
404,bmg2023lrcl,2023-06-15T21:26:17.869761Z,-1.535718441,99.58305359,3.68113568,MLv,11,49,138.4524689,"Southern Sumatra, Indonesia",BMKG
385,bmg2023lsvl,2023-06-16T20:10:01.827036Z,-5.961912155,103.8553543,3.445374995,MLv,10,39,181.3551178,"Southern Sumatra, Indonesia",BMKG
349,bmg2023lvoj,2023-06-18T08:00:25.044521Z,-3.000602484,101.1836319,4.046256879,MLv,23,44,145.2346191,"Southern Sumatra, Indonesia",BMKG
332,bmg2023lwtt,2023-06-18T23:51:23.452042Z,-0.735257804,100.8798752,2.760119017,M,129,29,68.77679539,"Southern Sumatra, Indonesia",BMKG
302,bmg2023lypi,2023-06-19T23:54:30.892919Z,-2.069066525,100.6468735,3.377559391,MLv,12,22,142.347168,"Southern Sumatra, Indonesia",BMKG
292,bmg2023lzew,2023-06-20T07:44:52.724287Z,-1.036670685,98.41457367,4.741306072,MLv,48,72,202.5736389,"Southern Sumatra, Indonesia",BMKG
268,bmg2023maip,2023-06-20T22:46:40.437178Z,-4.898695946,103.0607071,3.354454929,MLv,26,41,119.370697,"Southern Sumatra, Indonesia",BMKG
204,bmg2023merx,2023-06-23T08:00:43.09688Z,-4.000985146,101.9700241,3.791745911,M,23,38,162.8897858,"Southern Sumatra, Indonesia",BMKG
194,bmg2023mfsj,2023-06-23T21:23:20.079367Z,-0.383611828,100.2907181,2.400004961,MLv,10,18,123.6555328,"Southern Sumatra, Indonesia",BMKG
